Chip Series,Product,Transistor Count,Release Date,Vendor,Version
M1,M1,16000000000,November 2020,Apple,Baseline
M1,M1 Pro,33700000000,October 2021,Apple,Pro
M1,M1 Max,57000000000,October 2021,Apple,Max
M1,M1 Ultra,114000000000,March 2022,Apple,Ultra
M2,M2,20000000000,June 2022,Apple,Baseline
M2,M2 Pro,40000000000,January 2023,Apple,Pro
M2,M2 Max,67000000000,January 2023,Apple,Max
M2,M2 Ultra,134000000000,June 2023,Apple,Ultra
M3,M3,25000000000,October 2023,Apple,Baseline
M3,M3 Pro,37000000000,October 2023,Apple,Pro
M3,M3 Max,97000000000,October 2023,Apple,Max
